,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 10/13/05 15:30 PM (PDT),roadking ,2002 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),Great delivery vehicle," It's been a great delivery vehicle for my cafe business good power, economy match easily taken care of. Havent repaired anything or replaced anything but tires and normal maintenance items. Upgraded tires to Michelin LX series helped fuel economy. Would buy another in a second",4.625
1, on 07/17/05 21:59 PM (PDT),Mark ,2002 Dodge Ram Cargo Van 3500 3dr Ext Van (5.2L 8cyl 4A),Disappointmnet," Bought this car as a commuter vehicle for a van pool.  I was very disappointed in the vehicle in comparison to a 1997 model I had previously.  The motor was sluggish and tended to have a rough idle.  The A/C was better than the old van, but still lacked a separate control for the front and back.  What I was most disappointed with was that in moving up five years, I lost driver room, the ability to adjust the steering wheel to where I like it, and the passenger seats, by all accounts were less comfortable.  What I noticed in driving is that the vehicle had a very large turning radius.  Very difficult to maneuver in traffic.",2.125
2, on 07/16/02 00:00 AM (PDT),Tom Sheer ,2002 Dodge Ram Cargo Van 3500 Maxi 3dr Ext Van (5.2L 8cyl 4A),Sweet van," This van rocks its the best, lots of room. I carry a lot of cargo in mine and i tow a lot too, it works great!",5
3, on 12/29/07 21:57 PM (PST),Keven Smith ,2001 Dodge Ram Cargo Van 2500 Maxi 3dr Ext Van (5.2L 8cyl 4A),Keven Smith," Great work vehicle. Drives nice. has lots of room. Easy to handle, bucket seats electric windows",4.5
4, on 02/09/05 18:52 PM (PST),VanMan ,2001 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),Not what Dodge used to be," Good solid frame and suspension.  Well equipped, full power.  Gauges and controls are well designed and located.  Nice to drive once you are up and in.  No leg room on passenger side.  318 engine seems very weak and some spark plugs are very hard to access.  Terrible gas mileage (avg 12MPG).  Sheet metal is flimsy and dents if you lean against it or bump it.  Paint chips and scratches very easily.  Sliding side door jumped the track and scraped the whole side of the van.  Rear door caught in wind and pulled bolts out of frame.  Three front windshields in three years (stress point in center?).  No mechanical problems with drive train.  Reliable.  Still not the quality my older Dodge vans had.",2.875
5, on 05/17/04 00:00 AM (PDT),driverage ,2001 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),2001 dodge 1500 ram van, "some very early body rust on roof",2.25
6, on 08/01/17 16:40 PM (PDT),Guy ,2003 Dodge Ram Cargo Van 2500 3dr Ext Van (5.2L 8cyl 4A),Failur is lurking in every corner," Purchased the vehicle in 2003 second hand with 15000 miles from the owner (a one driver operator, not rental). This review was written in 2017 with only 110000 miles on it! It has been a great service van for my business but not without flaws. After warranty expired problems begin. Had to replace computer controller few times. Fuel hose went bad, chair adjustment lever broke, minor repairs here and there, water pump replaced, temperature control unit replaced, gas tank and pump replaced. Using a very accurate repair expenses controlled by business analysis I can say that the average repair cost is around $600 per year. This vehicle can't go farther than 10 trips without me worrying when would be the next problem. Dealer sticker say 12/15 miles per gallon but with very conservative driving my records show 17 miles per gallon. Overall I don't think it's the best value for vehicle but being optimistic as I am it is not the worst either. Hope this helps.",3
7, on 02/25/06 06:09 AM (PST),smithtp ,2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),Great Van," Bought used with 34k,the conversion package by Elk automotive is top rate. Has leather, cd, dvd, rear air, tv, rear stereo, all the goodies. Very easy to drive despite its size, ride is nice and quiet inside. With the 318 engines and regular service these things are allmost bullet-proof. As most manufacturers produce very few of the large van conversions any more and the new ones costing 50k that are available, I feel that for 20k I stole this thing. One of the best things is it's still under warranty with Chryslers 7/70 plan. These are the only way to travel, if you are buying for everyday use, it's probably not the right vehicle. ",4.625
8, on 04/13/04 00:00 AM (PDT),Regency ,2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),2003 Conversion Van, This is a left over new van. Great deal especially with the 0 % interest. Van is very comfortable for travel. The built in antennae for the tv is awsome for watching local chanels. Van is very quiet and rides smooth. Regency does a great job on their conversion packages.Awsome family vehicle,3.25
9, on 03/03/04 00:00 AM (PST),Dodgem ,2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),She's a looker!," I bought the van new with a conversion package, Raised roof, TV, VCR etc.. 2003 leftover good deals still available with zero financing. I have a 5.2 Ltr V-8, plenty of power, nice tight smooth ride. A little short on leg room but overall very comfortable. Lots of windows, everyone gets a window seat. It looks great, I've been getting loads of compliments.You won't be sorry.  ",4
10, on 08/06/15 07:14 AM (PDT),Mike azuela ,2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),Its been a nightmare," Since ive had this car, the water pump, upper control arms, tie rod ends, gas tank, and thermostat had to be replaced in less than 4 months.",2
11, on 08/01/15 14:44 PM (PDT),Shawna ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Love the power [non-permissible content removed]," Fuel sucks but comfort and power is awesome!!! Added exhaust and cold air intake to add more horsepower,overall, I would recommend to anyone.",5
12, on 01/22/12 10:44 AM (PST),nbrandl ,2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),The beauty can mask anything,"  I am a mechanic, I bought my 2006 Dodge Magnum 3.5 High Output AWD a year ago with 54,600 miles on it. As always, I performed a full vehicle check on the car before purchasing it. I loved this car, it was fast fun, elegant, and provided everything I needed, at first. Since I bought it I have had numerous mechanical, programing, and electrical issues currently totaling to $4,500 dollars. Just to give an idea, at 70,000 miles my throttle just went out (this isn't included in what I have already spent) and I now have to replace the entire intake system which is going to cost around $2,200 (these costs don't include mechanics fees, which will potentially double the costs) *A battery cost $300 ",3.625
13, on 05/31/11 22:25 PM (PDT),brian714oc ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),Unreal," i own a 2006 rt with the hemi and let me tell u it one heck of a car i couldnt complain on any day of the week cause in the end of them all i have my magnum to run to and with , dodge did something not to many have and thats impress me ",5
14, on 03/19/11 16:10 PM (PDT),fds1961 ,2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),New Owner," I drove a Dodge Charger last year and like the ride, so when it was time for a new car I went for the Magnum. I like to be able to load stuff the flea market and go fishing so I went with the wagon. It was like driving a SUV, and the speed!!! I had to check myself a few times, but this is the most powerful car I ever had. I drove a Nissan Altima for 2 years and this is a whole new class of car. Stylish, fast, a real head turner. It had over 80,000 miles, but you can't tell by the way it rides and excels on the road. So far so good, it seem to be a well build wagon with AWD for the snow, glad that I got this.... ",5
